Cores,Num_samples,pi,time
1,100000000,3.1414722,48.1216471195
1,100000000,3.14147364,49.3629550934
1,100000000,3.14155808,47.9691429138
1,100000000,3.14162224,47.2672359943
1,100000000,3.14180808,50.1783149242
2,100000000,3.14140024,28.7333228588
2,100000000,3.14144632,28.0829329491
2,100000000,3.14150968,25.7190070152
2,100000000,3.14158824,27.478979826
2,100000000,3.14163336,24.7619731426
3,100000000,3.14130892,18.4902019501
3,100000000,3.14156884,18.3339099884
3,100000000,3.14177896,18.2723500729
3,100000000,3.141895,18.4874939919
3,100000000,3.14194152,18.3195149899
4,100000000,3.14116064,13.5005891323
4,100000000,3.14154672,15.0147540569
4,100000000,3.14169104,15.4168968201
4,100000000,3.14172496,14.0215888023
4,100000000,3.14179728,15.0143349171
5,100000000,3.1415542,11.7051160336
5,100000000,3.1416782,12.9986088276
5,100000000,3.1418234,12.0251159668
5,100000000,3.142023,13.0229520798
5,100000000,3.1425736,12.601336956
6,100000000,3.1414024,11.0443351269
6,100000000,3.1414752,11.0382940769
6,100000000,3.14165824,10.5817210674
6,100000000,3.14192544,10.5975139141
6,100000000,3.14197552,10.7428629398
7,100000000,3.14099976,9.9217069149
7,100000000,3.14131644,9.58604717255
7,100000000,3.14159728,9.72685813904
7,100000000,3.14172664,9.52816414833
7,100000000,3.14200608,10.1677088737
8,100000000,3.14081536,8.94246411324
8,100000000,3.1414336,8.49087405205
8,100000000,3.14168352,8.66778707504
8,100000000,3.14171008,9.1282889843
8,100000000,3.1420048,9.13362288475
9,100000000,3.14047296,8.02757811546
9,100000000,3.14166496,7.80488705635
9,100000000,3.1417204,8.24158191681
9,100000000,3.14183808,8.12938117981
9,100000000,3.14258328,8.15253210068
10,100000000,3.1410548,7.6415951252
10,100000000,3.1411648,7.86772704124
10,100000000,3.1416376,7.49159479141
10,100000000,3.1417044,7.82307195663
10,100000000,3.1418964,7.57160305977
11,100000000,3.14105312,7.33140206337
11,100000000,3.14178924,6.75867009163
11,100000000,3.14180728,7.19593191147
11,100000000,3.14227808,7.09790182114
11,100000000,3.1426204,7.37623500824
12,100000000,3.14102928,6.65900802612
12,100000000,3.14121616,6.6438138485
12,100000000,3.14192128,6.40277099609
12,100000000,3.14199232,6.9064950943
12,100000000,3.14205712,6.73008394241
13,100000000,3.14086588,6.67473292351
13,100000000,3.1410458,6.18339896202
13,100000000,3.14187676,6.51478099823
13,100000000,3.1421014,6.47363495827
13,100000000,3.1422964,6.69358706474
14,100000000,3.14110944,6.62325406075
14,100000000,3.14134968,5.8855881691
14,100000000,3.14172272,6.01055812836
14,100000000,3.141824,5.98111510277
14,100000000,3.14253584,6.35013008118
15,100000000,3.1408938,5.82919192314
15,100000000,3.141685,5.81570291519
15,100000000,3.1418458,5.56518507004
15,100000000,3.1418778,5.75708293915
15,100000000,3.142137,6.01058912277
16,100000000,3.13961728,5.81564283371
16,100000000,3.14181184,5.55182790756
16,100000000,3.14200704,5.1774289608
16,100000000,3.1421312,5.95555901527
16,100000000,3.14226816,5.89776706696
